header,fname,lname,name,citizen,village,sex,age,yob,status,hired,leader,deputy,sherpa,tibetan,abovebc,success,solo,traverse,ski,o2used,o2none,smtcnt,msmtdate1,msmttime1,dsmttime1,msmtdate2,msmttime2,dsmttime2,msmtdate3,msmttime3,dsmttime3,claimed,disputed,inj,death,deathdate,deathtime,ddthtime,deathtype,deathclass,deathhgtm,ams,weather,mperhighpt,mperhighdt,msmtbid,msmtterm,yearseas,peakid,expid,membid,host,route1,route2,comrte,stdrte,agency,agntid,myear,mseason,maxatt,att1st
,Tenzing Norgay,,Tenzing Norgay,India,,M,39,1914,Sirdar,1,0,0,0,1,1,1,0,0,0,1,0,1,29-05-1953,1130,11.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 29,5, 1,1953 Spr,EVER,EVER-531-01,14,1,S Col-SE Ridge,,1,1,,,1953,1,0,TRUE
,Edmund Percival,Hillary,Edmund Percival Hillary,New Zealand,,M,33,1919,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,29-05-1953,1130,11.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 29,5, 1,1953 Spr,EVER,EVER-531-01,06,1,S Col-SE Ridge,,1,1,,,1953,1,0,TRUE
,Juerg P.,Marmet,Juerg P. Marmet,Switzerland,,M,28,1927,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,23-05-1956,1400,14,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 23,5, 1,1956 Spr,EVER,EVER-561-01,07,1,S Col-SE Ridge,,1,1,,,1956,1,0,TRUE
,Adolf (Dolf),Reist,Adolf (Dolf) Reist,Switzerland,,M,35,1921,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,24-05-1956,1100,11,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 24,5, 1,1956 Spr,EVER,EVER-561-01,09,1,S Col-SE Ridge,,1,1,,,1956,1,0,TRUE
,Ernst,Schmied,Ernst Schmied,Switzerland,,M,31,1924,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,23-05-1956,1400,14,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 23,5, 1,1956 Spr,EVER,EVER-561-01,10,1,S Col-SE Ridge,,1,1,,,1956,1,0,TRUE
,Hans-Rudolf,Von Gunten,Hans-Rudolf Von Gunten,Switzerland,,M,27,1928,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,24-05-1956,1100,11,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 24,5, 1,1956 Spr,EVER,EVER-561-01,11,1,S Col-SE Ridge,,1,1,,,1956,1,0,TRUE
,Gombu (Konbu),,Gombu (Konbu),China,,M,25,1935,Climber,0,0,0,0,1,1,1,0,0,0,1,0,1,25-05-1960,0205,2.08,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,1960 Spr,EVER,EVER-601-02,05,2,N Col-NE Ridge,,1,1,,,1960,1,0,TRUE
,Ying-Hua,Qu,Ying-Hua Qu,China,,M,25,1935,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,25-05-1960,0205,2.08,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,1960 Spr,EVER,EVER-601-02,17,2,N Col-NE Ridge,,1,1,,,1960,1,0,TRUE
,Fu-Chou,Wang,Fu-Chou Wang,China,,M,24,1935,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,25-05-1960,0205,2.08,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,1960 Spr,EVER,EVER-601-02,21,2,N Col-NE Ridge,,1,1,,,1960,1,0,TRUE
,Nawang Gombu,,Nawang Gombu,India,,M,26,1936,H-A Worker,1,0,0,0,1,1,1,0,0,0,1,0,1,01-05-1963,1300,13,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 1,5, 1,1963 Spr,EVER,EVER-631-01,21,1,S Col-SE Ridge,W Cwm-W Ridge-N Face up; SE Ridge-S Col down,0,0,,,1963,1,0,TRUE
,Barry Chapman,Bishop,Barry Chapman Bishop,USA,,M,31,1932,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,22-05-1963,1530,15.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 22,5, 1,1963 Spr,EVER,EVER-631-01,04,1,S Col-SE Ridge,W Cwm-W Ridge-N Face up; SE Ridge-S Col down,0,0,,,1963,1,0,TRUE
,Thomas Frederick,Hornbein,Thomas Frederick Hornbein,USA,,M,32,1930,Climber,0,0,0,0,0,1,1,0,1,0,1,0,1,22-05-1963,1830,18.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 22,5, 1,1963 Spr,EVER,EVER-631-01,10,1,S Col-SE Ridge,W Cwm-W Ridge-N Face up; SE Ridge-S Col down,0,0,,,1963,1,0,TRUE
,Luther Gerald (Lute),Jerstad,Luther Gerald (Lute) Jerstad,USA,,M,26,1936,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,22-05-1963,1530,15.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 22,5, 1,1963 Spr,EVER,EVER-631-01,11,1,S Col-SE Ridge,W Cwm-W Ridge-N Face up; SE Ridge-S Col down,0,0,,,1963,1,0,TRUE
,William Francis (Willi),Unsoeld,William Francis (Willi) Unsoeld,USA,,M,36,1926,Climber,0,0,0,0,0,1,1,0,1,0,1,0,1,22-05-1963,1830,18.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 22,5, 1,1963 Spr,EVER,EVER-631-01,19,1,S Col-SE Ridge,W Cwm-W Ridge-N Face up; SE Ridge-S Col down,0,0,,,1963,1,0,TRUE
,James W. (Jim),Whittaker,James W. (Jim) Whittaker,USA,,M,34,1929,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,01-05-1963,1300,13,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 1,5, 1,1963 Spr,EVER,EVER-631-01,20,1,S Col-SE Ridge,W Cwm-W Ridge-N Face up; SE Ridge-S Col down,0,0,,,1963,1,0,TRUE
,Nawang Gombu,,Nawang Gombu,India,,M,28,1936,Climber,0,0,0,0,1,1,1,0,0,0,1,0,1,20-05-1965,0930,9.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 20,5, 1,1965 Spr,EVER,EVER-651-01,03,1,S Col-SE Ridge,,1,1,,,1965,1,0,FALSE
,Sonam Gyatso,,Sonam Gyatso,India,,M,42,1923,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,22-05-1965,1230,12.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 22,5, 1,1965 Spr,EVER,EVER-651-01,04,1,S Col-SE Ridge,,1,1,,,1965,1,0,TRUE
,Sonam Wangyal,,Sonam Wangyal,India,,M,23,1942,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,22-05-1965,1230,12.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 22,5, 1,1965 Spr,EVER,EVER-651-01,05,1,S Col-SE Ridge,,1,1,,,1965,1,0,TRUE
,Hari Pal Singh,Ahluwalia,Hari Pal Singh Ahluwalia,India,,M,27,,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,29-05-1965,1000,10,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 29,5, 1,1965 Spr,EVER,EVER-651-01,06,1,S Col-SE Ridge,,1,1,,,1965,1,0,TRUE
,Autar Singh,Cheema,Autar Singh Cheema,India,,M,27,1938,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,20-05-1965,0930,9.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 20,5, 1,1965 Spr,EVER,EVER-651-01,11,1,S Col-SE Ridge,,1,1,,,1965,1,0,TRUE
,Harish Chandra Singh,Rawat,Harish Chandra Singh Rawat,India,,M,30,1934,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,29-05-1965,1000,10,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 29,5, 1,1965 Spr,EVER,EVER-651-01,14,1,S Col-SE Ridge,,1,1,,,1965,1,0,TRUE
,Ang Kami,Sherpa,Ang Kami Sherpa,India,,M,0,,Climber,0,0,0,1,0,1,1,0,0,0,1,0,1,24-05-1965,1045,10.75,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 24,5, 1,1965 Spr,EVER,EVER-651-01,15,1,S Col-SE Ridge,,1,1,,,1965,1,0,TRUE
,Phu Dorje,Sherpa,Phu Dorje Sherpa (Khumjung),Nepal, (Khumjung),M,27,1937,Assistant Sirdar,1,0,0,1,0,1,1,0,0,0,1,0,1,29-05-1965,1000,10,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 29,5, 1,1965 Spr,EVER,EVER-651-01,27,1,S Col-SE Ridge,,1,1,,,1965,1,0,TRUE
,C. P.,Vohra,C. P. Vohra,India,,M,30,1934,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,24-05-1965,1045,10.75,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 24,5, 1,1965 Spr,EVER,EVER-651-01,20,1,S Col-SE Ridge,,1,1,,,1965,1,0,TRUE
,Katsutoshi,Hirabayashi,Katsutoshi Hirabayashi,Japan,,M,35,1934,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,12-05-1970,0955,9.92,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 12,5, 1,1970 Spr,EVER,EVER-701-02,08,1,S Col-SE Ridge,SW Face (to 8050m),0,0,,,1970,1,0,TRUE
,Teruo,Matsuura,Teruo Matsuura,Japan,,M,36,1934,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,11-05-1970,0910,9.17,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 11,5, 1,1970 Spr,EVER,EVER-701-02,21,1,S Col-SE Ridge,SW Face (to 8050m),0,0,,,1970,1,0,TRUE
,Chotare,Sherpa,Chotare Sherpa (Namche Bazar),Nepal, (Namche Bazar),M,37,1932,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,12-05-1970,0955,9.92,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 12,5, 1,1970 Spr,EVER,EVER-701-02,40,1,S Col-SE Ridge,SW Face (to 8050m),0,0,,,1970,1,0,TRUE
,Naomi,Uemura,Naomi Uemura,Japan,,M,29,1941,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,11-05-1970,0910,9.17,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 11,5, 1,1970 Spr,EVER,EVER-701-02,37,1,S Col-SE Ridge,SW Face (to 8050m),0,0,,,1970,1,0,TRUE
,Claudio,Benedetti,Claudio Benedetti,Italy,,M,27,1946,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,07-05-1973,1300,13,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 7,5, 1,1973 Spr,EVER,EVER-731-01,06,1,S Col-SE Ridge,,1,1,,,1973,1,0,TRUE
,Rinaldo,Carrel,Rinaldo Carrel,Italy,,M,21,1952,Assistant,0,0,0,0,0,1,1,0,0,0,1,0,1,05-05-1973,1239,12.65,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 5,5, 1,1973 Spr,EVER,EVER-731-01,14,1,S Col-SE Ridge,,1,1,,,1973,1,0,TRUE
,Virginio,Epis,Virginio Epis,Italy,,M,41,1931,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,07-05-1973,1300,13,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 7,5, 1,1973 Spr,EVER,EVER-731-01,24,1,S Col-SE Ridge,,1,1,,,1973,1,0,TRUE
,Fabrizio,Innamorati,Fabrizio Innamorati,Italy,,M,30,1942,Climber/Transport,0,0,0,0,0,1,1,0,0,0,1,0,1,07-05-1973,1300,13,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 7,5, 1,1973 Spr,EVER,EVER-731-01,29,1,S Col-SE Ridge,,1,1,,,1973,1,0,TRUE
,Mirko,Minuzzo,Mirko Minuzzo,Italy,,M,26,1946,Assistant,0,0,0,0,0,1,1,0,0,0,1,0,1,05-05-1973,1239,12.65,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 5,5, 1,1973 Spr,EVER,EVER-731-01,42,1,S Col-SE Ridge,,1,1,,,1973,1,0,TRUE
,Lhakpa Tenzing,Sherpa,Lhakpa Tenzing Sherpa (Namche Bazar),Nepal, (Namche Bazar),M,32,1940,Sirdar,1,0,0,1,0,1,1,0,0,0,1,0,1,05-05-1973,1239,12.65,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 5,5, 1,1973 Spr,EVER,EVER-731-01,66,1,S Col-SE Ridge,,1,1,,,1973,1,0,TRUE
,Sonam Gyaltzen,Sherpa,Sonam Gyaltzen Sherpa (Bagam),Nepal, (Bagam),M,29,1943,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,07-05-1973,1300,13,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 7,5, 1,1973 Spr,EVER,EVER-731-01,67,1,S Col-SE Ridge,,1,1,,,1973,1,0,TRUE
,Shambu,Tamang,Shambu Tamang (Lisankhu),Nepal, (Lisankhu),M,17,1955,H-A Worker,1,0,0,0,0,1,1,0,0,0,1,0,1,05-05-1973,1239,12.65,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 5,5, 1,1973 Spr,EVER,EVER-731-01,68,1,S Col-SE Ridge,,1,1,,,1973,1,0,TRUE
,Hisashi,Ishiguro,Hisashi Ishiguro,Japan,,M,28,1945,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,26-10-1973,1630,16.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,Oct 26,5, 1,1973 Aut,EVER,EVER-733-01,16,1,S Col-SE Ridge,SW Face (to 8380m),0,0,,,1973,3,0,TRUE
,Yasuo,Kato,Yasuo Kato,Japan,,M,24,1949,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,26-10-1973,1630,16.5,  -   -,,0,  -   -,,0,0,0,1,0,  -   -,,0,0,0,0,0,0,8849,Oct 26,5, 1,1973 Aut,EVER,EVER-733-01,19,1,S Col-SE Ridge,SW Face (to 8380m),0,0,,,1973,3,0,TRUE
,Da Phuntsok (Darphuntso),,Da Phuntsok (Darphuntso),China,,M,30,,Climber,0,0,0,0,1,1,1,0,0,0,1,0,1,27-05-1975,1215,12.25,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 27,5, 1,1975 Spr,EVER,EVER-751-02,09,2,N Col-NE Ridge,,1,1,,,1975,1,0,TRUE
,Kunga Pasang (Gonga Basang),,Kunga Pasang (Gonga Basang),China,,M,27,1947,Climber,0,0,0,0,1,1,1,0,0,0,1,0,1,27-05-1975,1215,12.25,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 27,5, 1,1975 Spr,EVER,EVER-751-02,13,2,N Col-NE Ridge,,1,1,,,1975,1,0,TRUE
,Lhotse (Louze),,Lhotse (Louze),China,,M,36,1938,Climber,0,0,0,0,1,1,1,0,0,0,1,0,1,27-05-1975,1215,12.25,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 27,5, 1,1975 Spr,EVER,EVER-751-02,14,2,N Col-NE Ridge,,1,1,,,1975,1,0,TRUE
,Ngapo Khyen (Abu Qin),,Ngapo Khyen (Abu Qin),China,,M,18,1956,Climber,0,0,0,0,1,1,1,0,0,0,1,0,1,27-05-1975,1215,12.25,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 27,5, 1,1975 Spr,EVER,EVER-751-02,16,2,N Col-NE Ridge,,1,1,,,1975,1,0,TRUE
,"Phantog (Phandu, Pando)",,"Ms. Phantog (Phandu, Pando)",China,,F,36,1939,Climber,0,0,0,0,1,1,1,0,0,0,1,0,1,27-05-1975,1215,12.25,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 27,5, 1,1975 Spr,EVER,EVER-751-02,18,2,N Col-NE Ridge,,1,1,,,1975,1,0,TRUE
,Samdrup (Samdruk),,Samdrup (Samdruk),China,,M,22,1953,Climber,0,0,0,0,1,1,1,0,0,0,1,0,1,27-05-1975,1215,12.25,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 27,5, 1,1975 Spr,EVER,EVER-751-02,20,2,N Col-NE Ridge,,1,1,,,1975,1,0,TRUE
,Sonam Norbu,,Sonam Norbu,China,,M,28,1946,Climber,0,0,0,0,1,1,1,0,0,0,1,0,1,27-05-1975,1215,12.25,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 27,5, 1,1975 Spr,EVER,EVER-751-02,21,2,N Col-NE Ridge,,1,1,,,1975,1,0,TRUE
,Tsering Tobgyal,,Tsering Tobgyal,China,,M,0,,Climber,0,0,0,0,1,1,1,0,0,0,1,0,1,27-05-1975,1215,12.25,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 27,5, 1,1975 Spr,EVER,EVER-751-02,22,2,N Col-NE Ridge,,1,1,,,1975,1,0,TRUE
,Sheng-Fu,Hou,Sheng-Fu Hou,China,,M,35,1939,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,27-05-1975,1230,12.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 27,5, 1,1975 Spr,EVER,EVER-751-02,28,2,N Col-NE Ridge,,1,1,,,1975,1,0,TRUE
,Ang Tshering,Sherpa,Ang Tshering Sherpa (Namche Bazar),Nepal, (Namche Bazar),M,25,1949,Sirdar,1,0,0,1,0,1,1,0,0,0,1,0,1,16-05-1975,1230,12.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 16,5, 1,1975 Spr,EVER,EVER-751-01,23,1,S Col-SE Ridge,,1,1,,,1975,1,0,TRUE
,Junko,Tabei,Ms. Junko Tabei,Japan,,F,35,1939,Deputy Leader,0,0,1,0,0,1,1,0,0,0,1,0,1,16-05-1975,1230,12.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 16,5, 1,1975 Spr,EVER,EVER-751-01,02,1,S Col-SE Ridge,,1,1,,,1975,1,0,TRUE
,Peter David,Boardman,Peter David Boardman,UK,,M,24,1950,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,26-09-1975,1310,13.17,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,Sep 26,5, 1,1975 Aut,EVER,EVER-753-01,03,1,SW Face-S Smt,,0,0,Mountain Travel,,1975,3,0,TRUE
,Dougal,Haston,Dougal Haston,UK,,M,33,1942,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,24-09-1975,1800,18,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,Sep 24,5, 1,1975 Aut,EVER,EVER-753-01,15,1,SW Face-S Smt,,0,0,Mountain Travel,,1975,3,0,TRUE
,Douglas Keith (Doug),Scott,Douglas Keith (Doug) Scott,UK,,M,34,1941,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,24-09-1975,1800,18,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,Sep 24,5, 1,1975 Aut,EVER,EVER-753-01,21,1,SW Face-S Smt,,0,0,Mountain Travel,,1975,3,0,TRUE
,Pertemba,Sherpa,Pertemba Sherpa (Khumjung),Nepal, (Khumjung),M,27,1948,Sirdar,1,0,0,1,0,1,1,0,0,0,1,0,1,26-09-1975,1310,13.17,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,Sep 26,5, 1,1975 Aut,EVER,EVER-753-01,25,1,SW Face-S Smt,,0,0,Mountain Travel,,1975,3,0,TRUE
,Michael P. (Bronco),Lane,Michael P. (Bronco) Lane,UK,,M,30,1945,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,16-05-1976,1515,15.25,  -   -,,0,  -   -,,0,0,0,1,0,  -   -,,0,0,0,0,0,0,8849,May 16,5, 1,1976 Spr,EVER,EVER-761-01,22,1,S Col-SE Ridge,,1,1,,,1976,1,0,TRUE
,John Henry (Brummie),Stokes,John Henry (Brummie) Stokes,UK,,M,30,1945,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,16-05-1976,1515,15.25,  -   -,,0,  -   -,,0,0,0,1,0,  -   -,,0,0,0,0,0,0,8849,May 16,5, 1,1976 Spr,EVER,EVER-761-01,32,1,S Col-SE Ridge,,1,1,,,1976,1,0,TRUE
,Chris Howard,Chandler,Chris Howard Chandler,USA,,M,28,1948,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,08-10-1976,1614,16.23,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,Oct 8,5, 1,1976 Aut,EVER,EVER-763-01,04,1,S Col-SE Ridge,,1,1,,,1976,3,0,TRUE
,Robert (Bob),Cormack,Robert (Bob) Cormack,USA,,M,30,,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,08-10-1976,1614,16.23,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,Oct 8,5, 1,1976 Aut,EVER,EVER-763-01,05,1,S Col-SE Ridge,,1,1,,,1976,3,0,TRUE
,Sang-Don,Ko,Sang-Don Ko,S Korea,,M,28,1948,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,15-09-1977,1250,12.83,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,Sep 15,5, 1,1977 Aut,EVER,EVER-773-01,14,1,S Col-SE Ridge,,1,1,,,1977,3,0,TRUE
,Pemba Nurbu/Norbu,Sherpa,Pemba Nurbu/Norbu Sherpa (Namche Bazar),Nepal, (Namche Bazar),M,28,1949,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,15-09-1977,1250,12.83,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,Sep 15,5, 1,1977 Aut,EVER,EVER-773-01,22,1,S Col-SE Ridge,,1,1,,,1977,3,0,TRUE
,Horst,Bergmann,Horst Bergmann,Austria,,M,36,1942,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,03-05-1978,1250,12.83,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 3,5, 1,1978 Spr,EVER,EVER-781-02,02,1,S Col-SE Ridge,,1,1,,,1978,1,0,TRUE
,Peter,Habeler,Peter Habeler,Austria,,M,35,1942,Climber,0,0,0,0,0,1,1,0,0,0,0,1,1,08-05-1978,1315,13.25,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 8,5, 1,1978 Spr,EVER,EVER-781-02,04,1,S Col-SE Ridge,,1,1,,,1978,1,0,TRUE
,Reinhard,Karl,Reinhard Karl,W Germany,,M,31,1946,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,11-05-1978,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 11,5, 1,1978 Spr,EVER,EVER-781-02,07,1,S Col-SE Ridge,,1,1,,,1978,1,0,TRUE
,Reinhold,Messner,Reinhold Messner,Italy,,M,33,1944,Climber,0,0,0,0,0,1,1,0,0,0,0,1,1,08-05-1978,1315,13.25,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 8,5, 1,1978 Spr,EVER,EVER-781-02,10,1,S Col-SE Ridge,,1,1,,,1978,1,0,TRUE
,Wolfgang,Nairz,Wolfgang Nairz,Austria,,M,33,1944,Leader,0,1,0,0,0,1,1,0,0,0,1,0,1,03-05-1978,1250,12.83,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 3,5, 1,1978 Spr,EVER,EVER-781-02,01,1,S Col-SE Ridge,,1,1,,,1978,1,0,TRUE
,Oswald,Oelz,Oswald Oelz,Austria,,M,35,1943,Exp Doctor,0,0,0,0,0,1,1,0,0,0,1,0,1,11-05-1978,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 11,5, 1,1978 Spr,EVER,EVER-781-02,11,1,S Col-SE Ridge,,1,1,,,1978,1,0,TRUE
,Franz,Oppurg,Franz Oppurg,Austria,,M,29,1948,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,14-05-1978,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 14,5, 1,1978 Spr,EVER,EVER-781-02,12,1,S Col-SE Ridge,,1,1,,,1978,1,0,TRUE
,Hans Robert,Schauer,Hans Robert Schauer,Austria,,M,24,1953,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,03-05-1978,1250,12.83,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 3,5, 1,1978 Spr,EVER,EVER-781-02,13,1,S Col-SE Ridge,,1,1,,,1978,1,0,TRUE
,Ang Phu,Sherpa,Ang Phu Sherpa (Khumjung),Nepal, (Khumjung),M,27,1950,Sirdar,1,0,0,1,0,1,1,0,0,0,1,0,1,03-05-1978,1250,12.83,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 3,5, 1,1978 Spr,EVER,EVER-781-02,15,1,S Col-SE Ridge,,1,1,,,1978,1,0,TRUE
,Jean,Afanassieff,Jean Afanassieff,France,,M,25,1953,Climber,0,0,0,0,0,1,1,0,0,1,1,0,1,15-10-1978,1335,13.58,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,Oct 15,5, 1,1978 Aut,EVER,EVER-783-02,03,1,S Col-SE Ridge,,1,1,,,1978,3,0,TRUE
,Robert,Allenbach,Robert Allenbach,Switzerland,,M,28,1950,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,16-10-1978,1345,13.75,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,Oct 16,5, 1,1978 Aut,EVER,EVER-783-01,04,1,S Col-SE Ridge,,1,1,,,1978,3,0,TRUE
