header,fname,lname,name,citizen,village,sex,age,yob,status,hired,leader,deputy,sherpa,tibetan,abovebc,success,solo,traverse,ski,o2used,o2none,smtcnt,msmtdate1,msmttime1,dsmttime1,msmtdate2,msmttime2,dsmttime2,msmtdate3,msmttime3,dsmttime3,claimed,disputed,inj,death,deathdate,deathtime,ddthtime,deathtype,deathclass,deathhgtm,ams,weather,mperhighpt,mperhighdt,msmtbid,msmtterm,yearseas,peakid,expid,membid,host,route1,route2,comrte,stdrte,agency,agntid,myear,mseason,maxatt,att1st
,Lhakpa Dendi,Sherpa,Lhakpa Dendi Sherpa (Chheskam-2),Nepal, (Chheskam-2),M,30,1988,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,13-05-2018,1530,15.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 13,5, 1,2018 Spr,EVER,EVER-181-01,03,1,S Col-SE Ridge,,1,1,,,2018,1,0,FALSE
,Lhakpa Dendi,Sherpa,Lhakpa Dendi Sherpa (Chheskam-2),Nepal, (Chheskam-2),M,30,1988,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,18-05-2018,0635,6.58,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 18,5, 1,2018 Spr,EVER,EVER-181-08,14,1,S Col-SE Ridge,,1,1,Himalayan Guides,,2018,1,0,FALSE
,Lhakpa Dendi,Sherpa,Lhakpa Dendi Sherpa (Chheskam-2),Nepal, (Chheskam-2),M,30,1988,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,24-05-2018,1000,10,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 24,5, 1,2018 Spr,EVER,EVER-181-15,04,1,S Col-SE Ridge,,1,1,Himalayan Guides,,2018,1,0,FALSE
,Lhakpa Nurbu,Sherpa,Lhakpa Nurbu Sherpa (Tashigaon),Nepal, (Tashigaon),M,35,1983,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2018,0710,7.17,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2018 Spr,EVER,EVER-181-29,14,1,S Col-SE Ridge,,1,1,Pioneer Adventure,,2018,1,0,FALSE
,Lhakpa Nuru,Sherpa,Lhakpa Nuru Sherpa (Khumjung),Nepal, (Khumjung),M,27,1991,Sirdar,1,0,0,1,0,1,1,0,0,0,1,0,1,21-05-2018,0745,7.75,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 21,5, 1,2018 Spr,EVER,EVER-181-03,23,1,S Col-SE Ridge,,1,1,Asian Trekking,,2018,1,0,FALSE
,Lhakpa Nuru,Sherpa,Lhakpa Nuru Sherpa (Kharikhola),Nepal, (Kharikhola),M,33,1984,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,23-05-2018,0745,7.75,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 23,5, 1,2018 Spr,EVER,EVER-181-43,09,1,S Col-SE Ridge,,1,1,Dreamers Destination Treks,,2018,1,0,FALSE
,Lhakpa Nuru,Sherpa,Lhakpa Nuru Sherpa (Kharikhola),Nepal, (Kharikhola),M,33,1984,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,16-05-2018,1000,10,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 16,5, 1,2018 Spr,EVER,EVER-181-44,07,1,S Col-SE Ridge,,1,1,Dreamers Destination Treks,,2018,1,0,FALSE
,Lhakpa Nuru,Sherpa,Lhakpa Nuru Sherpa (Yilajung),Nepal, (Yilajung),M,45,1972,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,17-05-2018,0550,5.83,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 17,5, 1,2018 Spr,EVER,EVER-181-72,15,2,N Col-NE Ridge,,1,1,Himalaya Vision,,2018,1,0,FALSE
,Lhakpa Nuru,Sherpa,Lhakpa Nuru Sherpa (Phortse),Nepal, (Phortse),M,37,1980,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,14-05-2018,1130,11.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 14,5, 1,2018 Spr,EVER,EVER-181-87,02,2,N Col-NE Ridge,,1,1,,,2018,1,0,FALSE
,Lhakpa Rinji,Sherpa,Lhakpa Rinji Sherpa (Kharikhola),Nepal, (Kharikhola),M,36,1981,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2018,0832,8.53,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2018 Spr,EVER,EVER-181-02,22,1,S Col-SE Ridge,,1,1,Asian Trekking,,2018,1,0,FALSE
,Lhakpa Sonam,Sherpa,Lhakpa Sonam Sherpa (Kharikhola),Nepal, (Kharikhola),M,36,1981,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,19-05-2018,1230,12.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 19,5, 1,2018 Spr,EVER,EVER-181-33,02,1,S Col-SE Ridge,,1,1,Shangri-La Nepal Treks,,2018,1,0,FALSE
,Lhakpa Tashi,Sherpa,Lhakpa Tashi Sherpa (Khembalung),Nepal, (Khembalung),M,32,1985,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,18-05-2018,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 18,5, 1,2018 Spr,EVER,EVER-181-53,06,1,S Col-SE Ridge,,1,1,Satori Adventures,,2018,1,0,FALSE
,Lhakpa Tenji,Sherpa,Lhakpa Tenji Sherpa (Makalu-9),Nepal, (Makalu-9),M,44,1973,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,18-05-2018,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 18,5, 1,2018 Spr,EVER,EVER-181-53,07,1,S Col-SE Ridge,,1,1,Satori Adventures,,2018,1,0,TRUE
,Lhakpa Tshering,Sherpa,Lhakpa Tshering Sherpa (Phurte),Nepal, (Phurte),M,27,1991,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,16-05-2018,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 16,5, 1,2018 Spr,EVER,EVER-181-85,54,2,N Col-NE Ridge,,1,1,Arun Treks,,2018,1,0,FALSE
